"","y10b224","y10b225","yob","gender","w10edu","sampid","y10a034","y10g101","y10a065","y10a080","y10b308","y10b156z","y10b161","w10type","y10f310","y10g500","y10b22","y10g7"
"1",NA,NA,1990,1,4,1,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2400
"2",2,200,1980,1,4,3,NA,1,NA,NA,1,8,1,5,2,2,40,2400
"3",2,230,1980,2,4,9,NA,2,NA,NA,1,2,1,5,1,1,40,3000
"4",2,150,1988,2,4,12,NA,1,NA,NA,1,2,1,5,2,2,40,2400
"5",2,200,1983,1,4,15,NA,1,NA,NA,1,8,1,5,2,2,40,1800
"6",2,200,1981,2,4,16,NA,1,NA,NA,1,0,1,5,2,2,50,2400
"7",2,350,1990,1,4,21,NA,1,NA,NA,1,0,1,5,1,2,40,3000
"8",1,3000,1992,2,4,22,NA,1,NA,NA,1,0,1,5,1,2,48,2500
"9",2,180,1988,1,4,23,NA,1,NA,NA,1,6,1,5,1,2,50,3000
"10",2,270,1992,2,4,26,NA,1,NA,NA,1,3,1,5,1,2,45,2400
"11",2,200,1992,1,4,27,NA,1,NA,NA,1,0,1,5,1,2,40,3800
"12",1,4500,1978,1,4,30,NA,2,NA,NA,1,2,1,5,1,2,48,3000
"13",2,140,1992,2,4,32,NA,1,NA,NA,1,0,1,5,2,2,40,2400
"14",2,200,1987,1,4,33,NA,1,NA,NA,1,2,1,5,1,2,40,1800
"15",2,350,1979,1,4,36,NA,2,NA,NA,1,2,1,5,1,1,40,2400
"16",2,150,1978,2,4,37,NA,2,NA,NA,1,0,1,5,1,1,40,2400
"17",2,170,1979,2,4,38,NA,2,NA,NA,1,2,1,5,1,1,45,1800
"18",1,416.666666666667,1984,1,4,40,NA,1,NA,NA,NA,6,5,5,1,2,40,4500
"19",NA,NA,1987,1,4,41,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2500
"20",2,200,1989,2,4,43,NA,1,NA,NA,1,0,1,5,1,2,40,2400
"21",NA,NA,1981,2,4,45,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,3000
"22",NA,NA,1992,2,4,51,2,1,1,5,NA,NA,NA,4,3,2,NA,NA
"23",2,120,1991,1,4,52,NA,1,NA,NA,2,0,2,5,4,2,40,2400
"24",NA,NA,1992,2,4,63,2,1,1,1,NA,NA,NA,3,1,2,NA,NA
"25",NA,NA,1985,2,4,64,NA,2,NA,NA,NA,NA,NA,6,1,2,NA,6000
"26",NA,NA,1979,2,4,68,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,1800
"27",2,250,1983,1,4,69,NA,2,NA,NA,1,8,1,5,2,1,45,2500
"28",2,250,1987,2,4,72,NA,1,NA,NA,1,4,1,5,2,2,40,2000
"29",2,200,1991,1,4,75,NA,1,NA,NA,1,6,1,5,1,2,40,2400
