"","y13b224","y13b225","w13edu","sampid","y13g101","y13a034","y13a065","y13a080","y13b308","y13b156z","y13b161","w13type","y13f310","y13g500","y13b22","y13g7"
"1",NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"2",2,240,4,3,1,NA,NA,NA,1,1,1,5,2,2,40,3000
"3",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2,200,4,12,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"5",2,200,4,15,2,NA,NA,NA,1,8,1,5,2,2,40,3000
"6",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2,350,4,21,1,NA,NA,NA,1,0,1,5,2,2,40,4000
"8",2,350,4,22,1,NA,NA,NA,1,0,1,5,1,2,40,4500
"9",2,250,4,23,1,NA,NA,NA,1,6,1,5,2,2,40,3000
"10",2,290,4,26,1,NA,NA,NA,1,3,1,5,2,2,48,3500
"11",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2,300,4,30,2,NA,NA,NA,1,2,1,5,1,1,40,4000
"13",2,300,4,32,1,NA,NA,NA,NA,4,5,5,2,2,30,3600
"14",1,4500,4,33,2,NA,NA,NA,1,2,1,5,2,2,40,5000
"15",2,400,4,36,2,NA,NA,NA,1,2,1,5,2,1,40,3000
"16",2,170,4,37,2,NA,NA,NA,2,0,1,5,2,1,40,2500
"17",2,170,4,38,2,NA,NA,NA,1,2,1,5,2,1,45,2500
"18",2,200,4,40,1,NA,NA,NA,NA,6,5,5,2,2,40,3000
"19",2,140,4,41,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"20",2,200,4,43,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"21",2,200,4,45,2,NA,NA,NA,1,0,1,5,5,1,60,2500
"22",NA,NA,5,51,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"23",2,180,4,52,1,NA,NA,NA,1,5,1,5,1,2,40,2800
"24",NA,NA,4,63,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3500
"25",2,600,4,64,2,NA,NA,NA,1,3,1,5,1,2,40,10000
"26",2,180,4,68,2,NA,NA,NA,NA,5,5,5,1,1,60,2500
"27",2,300,4,69,2,NA,NA,NA,1,8,1,5,2,1,40,3600
"28",NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2,230,4,75,1,NA,NA,NA,1,6,1,5,1,2,40,3000
"30",2,200,4,76,1,NA,NA,NA,NA,6,5,5,2,2,70,3000
"31",2,350,4,79,2,NA,NA,NA,NA,6,5,5,2,1,48,5000
"32",2,300,5,81,2,NA,NA,NA,1,0,1,5,1,1,40,5000
"33",1,7800,4,84,2,NA,NA,NA,1,0,1,5,2,1,40,8000
"34",NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,4,92,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,3000
"37",1,5200,4,94,2,NA,NA,NA,1,1,1,5,3,2,40,7000
"38",2,200,4,95,2,NA,NA,NA,1,2,1,5,1,1,20,3000
"39",1,2180,4,104,1,NA,NA,NA,1,8,1,5,1,2,50,2180
"40",NA,NA,4,108,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2000
"41",2,450,4,114,1,NA,NA,NA,1,0,1,5,2,2,40,5000
"42",1,2900,4,117,1,NA,NA,NA,1,6,1,5,2,2,40,3000
"43",NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1,2800,4,134,1,NA,NA,NA,1,0,1,5,1,2,40,3000
"47",NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1,2970,4,144,1,NA,NA,NA,1,1,1,5,4,2,45,2200
"50",2,220,4,148,1,NA,NA,NA,1,0,1,5,3,2,48,2000
"51",2,300,4,150,1,NA,NA,NA,NA,4,5,5,2,2,50,2000
"52",1,2800,4,155,1,NA,NA,NA,1,0,1,5,3,2,50,2600
"53",NA,NA,4,156,1,2,1,5,NA,NA,NA,4,NA,2,NA,NA
"54",2,100,4,158,2,NA,NA,NA,NA,4,5,5,1,2,20,4000
"55",NA,NA,4,166,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2300
"56",NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2,330,4,179,1,NA,NA,NA,1,4,1,5,2,2,50,4700
"58",1,7000,4,185,2,NA,NA,NA,1,0,1,5,2,2,45,6000
"59",2,250,4,187,2,NA,NA,NA,1,1,1,5,3,1,55,2000
"60",NA,NA,4,188,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,2600
"61",1,6000,4,193,1,NA,NA,NA,1,1,1,5,1,2,40,5000
"62",1,4200,4,194,1,1,1,5,1,2,1,5,2,2,40,4200
"63",NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",5,3,4,199,1,NA,NA,NA,2,2,2,5,4,2,12,3500
"65",NA,NA,5,201,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,4000
"66",1,2700,4,202,2,NA,NA,NA,1,0,1,5,4,2,44,2700
"67",NA,NA,4,212,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"68",1,5750,5,213,2,NA,NA,NA,1,1,1,5,3,1,35,8000
"69",2,200,4,214,2,NA,NA,NA,1,0,1,5,1,2,40,4000
"70",1,3360,4,216,1,NA,NA,NA,1,3,1,5,1,2,41,2400
"71",1,9090908,4,217,1,NA,NA,NA,1,4,1,5,1,2,40,5000
"72",NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,4,222,1,6,1,5,NA,NA,NA,4,2,2,NA,NA
"75",1,4000,4,223,1,NA,NA,NA,1,0,1,5,1,2,53,4200
"76",1,3600,4,224,1,NA,NA,NA,1,0,1,5,1,2,40,6000
"77",NA,NA,4,231,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,8000
"78",NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2,300,4,247,2,NA,NA,NA,NA,7,5,5,1,1,50,4800
"80",1,4000,4,248,1,NA,NA,NA,NA,6,5,5,2,2,42,4000
"81",1,5000,4,249,2,NA,NA,NA,1,1,1,5,2,2,40,5000
"82",1,7500,4,254,2,NA,NA,NA,1,1,1,5,1,1,40,6000
"83",1,5000,4,255,2,NA,NA,NA,1,0,1,5,1,1,45,6000
"84",1,5000,4,257,2,NA,NA,NA,2,0,2,5,1,1,40,5000
"85",1,2300,4,258,1,NA,NA,NA,1,1,1,5,1,2,55,3000
"86",1,3000,4,270,1,NA,NA,NA,2,2,1,5,2,2,40,3000
"87",2,240,4,272,1,NA,NA,NA,1,4,1,5,2,2,40,2000
"88",NA,NA,4,277,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,1800
"89",NA,NA,4,278,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"90",NA,NA,4,280,2,NA,NA,NA,NA,NA,NA,6,3,2,NA,2800
"91",1,2500,4,281,1,NA,NA,NA,1,1,1,5,2,2,40,2800
"92",NA,NA,4,282,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"93",2,250,4,283,2,NA,NA,NA,1,0,1,5,2,2,40,3800
"94",1,3000,4,285,1,NA,NA,NA,1,2,1,5,2,2,52,3200
"95",2,140,4,287,2,NA,NA,NA,1,0,1,5,4,1,22,4000
"96",2,100,4,290,2,NA,NA,NA,1,0,1,5,1,1,40,5000
"97",1,3200,4,292,1,NA,NA,NA,1,4,1,5,5,2,42,3700
"98",1,10000,4,296,1,NA,NA,NA,1,1,1,5,1,2,50,11000
"99",2,200,4,312,1,NA,NA,NA,NA,4,5,5,2,2,45,2800
"100",5,0.835,4,313,1,NA,NA,NA,2,1,2,5,2,2,45,3600
"101",5,3,4,315,2,NA,NA,NA,NA,5,5,5,2,1,12,9090908
"102",NA,NA,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,4,328,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,3000
"105",NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1,3000,4,338,1,NA,NA,NA,1,0,1,5,3,2,48,3300
"107",2,380,4,360,2,NA,NA,NA,1,0,1,5,3,2,47,3600
"108",2,320,4,361,2,NA,NA,NA,1,4,1,5,2,2,45,3000
"109",NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1,4000,4,375,2,NA,NA,NA,1,0,1,5,3,2,45,4000
"112",1,3600,4,385,1,NA,NA,NA,1,0,1,5,5,2,40,1400
"113",NA,NA,4,386,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,4000
"114",1,8000,4,387,1,NA,NA,NA,1,8,1,5,1,2,40,9000
"115",1,2000,4,389,1,NA,NA,NA,1,4,1,5,5,2,60,1500
"116",2,200,4,390,1,NA,NA,NA,1,0,1,5,4,2,40,1400
"117",2,350,4,391,1,NA,NA,NA,1,0,1,5,5,2,40,2000
"118",NA,NA,4,396,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,3500
"119",2,332,4,405,2,NA,NA,NA,1,3,1,5,4,1,44,7000
"120",1,3000,4,410,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"121",1,3100,4,411,2,NA,NA,NA,1,0,1,5,2,2,40,2800
"122",NA,NA,4,414,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,2400
"123",1,3064,5,416,2,NA,NA,NA,1,0,1,5,1,1,40,3600
"124",1,2000,4,419,1,NA,NA,NA,1,0,1,5,2,2,40,2400
