"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1",230,4,1,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"2",240,4,3,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"3",250,4,9,2,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"4",200,4,12,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"5",220,4,15,2,NA,NA,NA,1,8,1,5,1,110132.7,384142319
"6",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"7",350,4,21,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"8",350,4,22,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"9",250,4,23,1,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"10",350,4,26,1,NA,NA,NA,1,3,1,5,5,110132.7,384142319
"11",300,4,27,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"12",300,4,30,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"13",350,4,32,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"14",300,4,33,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"15",400,4,36,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"16",200,4,37,2,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"17",200,4,38,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"18",100,4,40,1,NA,NA,NA,NA,6,5,5,5,110132.7,384142319
"19",2300,4,41,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"20",200,4,43,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"21",200,4,45,2,NA,NA,NA,1,0,1,5,4,110132.7,384142319
"22",NA,5,51,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"23",180,4,52,1,NA,NA,NA,1,5,1,5,1,110132.7,384142319
"24",160,4,63,1,NA,NA,NA,NA,2,5,5,1,110132.7,384142319
"25",600,4,64,2,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"26",1500,4,68,2,NA,NA,NA,NA,5,5,5,1,110132.7,384142319
"27",300,4,69,2,NA,NA,NA,1,8,1,5,1,110132.7,384142319
"28",170,4,72,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"29",250,4,75,1,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"30",180,4,76,2,NA,NA,NA,1,0,1,5,6,110132.7,384142319
"31",3500,4,79,2,NA,NA,NA,NA,6,5,5,1,110132.7,384142319
"32",350,5,81,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"33",8400,4,84,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"34",NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"35",NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"36",NA,4,92,2,NA,NA,NA,NA,NA,NA,6,5,110132.7,384142319
"37",5200,4,94,2,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"38",NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"39",2537,4,104,1,NA,NA,NA,1,8,1,5,1,110132.7,384142319
"40",NA,4,108,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"41",400,4,114,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"42",3000,4,117,1,NA,NA,NA,1,0,1,5,4,110132.7,384142319
"43",189,4,119,1,NA,NA,NA,2,0,1,5,3,110132.7,384142319
"44",10000,4,122,2,NA,NA,NA,1,1,1,5,2,110132.7,384142319
"45",NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"46",3500,4,134,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"47",NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"48",350,4,140,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"49",3200,4,144,1,NA,NA,NA,1,1,1,5,2,110132.7,384142319
"50",200,4,148,1,NA,NA,NA,2,4,2,5,3,110132.7,384142319
"51",14,4,150,1,NA,NA,NA,2,4,3,5,2,110132.7,384142319
"52",3200,4,155,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"53",NA,4,156,1,2,1,5,NA,NA,NA,4,3,110132.7,384142319
"54",100,4,158,2,NA,NA,NA,NA,4,5,5,2,110132.7,384142319
"55",NA,4,166,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"56",NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"57",250,4,179,1,NA,NA,NA,1,4,1,5,3,110132.7,384142319
"58",6500,4,185,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"59",5700,4,187,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"60",NA,4,188,2,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"61",7000,4,193,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"62",4100,4,194,1,1,1,5,1,2,1,5,2,110132.7,384142319
"63",NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"64",NA,4,199,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"65",NA,5,201,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"66",NA,4,202,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"67",NA,4,212,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"68",7000,5,213,2,NA,NA,NA,1,1,1,5,2,110132.7,384142319
"69",200,4,214,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"70",3840,4,216,1,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"71",8000,4,217,1,NA,NA,NA,1,4,1,5,1,110132.7,384142319
"72",NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"73",NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"74",NA,4,222,1,6,1,5,NA,NA,NA,4,3,110132.7,384142319
"75",NA,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"76",5000,4,224,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"77",7200,4,231,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"78",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"79",150,4,247,2,NA,NA,NA,NA,7,5,5,1,110132.7,384142319
"80",3500,4,248,1,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"81",5000,4,249,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"82",7000,4,254,2,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"83",425,4,255,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"84",6000,4,257,2,NA,NA,NA,2,0,2,5,1,110132.7,384142319
"85",2700,4,258,1,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"86",200,4,270,1,NA,NA,NA,2,2,1,5,3,110132.7,384142319
"87",3000,4,272,1,NA,NA,NA,1,4,1,5,4,110132.7,384142319
"88",NA,4,277,2,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"89",NA,4,278,2,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"90",NA,4,280,2,6,1,5,NA,NA,NA,4,1,110132.7,384142319
"91",191,4,281,1,NA,NA,NA,1,1,1,5,3,110132.7,384142319
"92",200,4,282,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"93",NA,4,283,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"94",3000,4,285,1,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"95",170,4,287,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"96",NA,4,290,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"97",250,4,292,1,NA,NA,NA,1,4,1,5,4,110132.7,384142319
