"id","출생연도","성별","배우자월평균소득","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도"
9,1980,2,1,0,2,1,4,5,2016
45,1981,2,1,0,-1,-1,4,6,2016
68,1979,2,1,0,-1,-1,4,6,2016
69,1983,1,0,0,2,1,4,5,2016
84,1980,1,1,0,0,1,4,5,2016
95,1990,2,1,0,-1,-1,4,6,2016
108,1985,2,1,1,0,1,4,5,2016
114,1982,1,1,1,0,1,4,5,2016
187,1981,1,0,0,1,1,4,5,2016
188,1979,2,1,0,-1,-1,4,6,2016
213,1983,2,1,1,1,1,5,5,2016
255,1984,1,1,1,0,1,4,5,2016
257,1981,1,1,0,0,1,4,5,2016
277,1986,2,1,0,2,2,4,5,2016
287,1983,2,1,0,0,1,4,5,2016
290,1984,2,1,1,0,1,4,5,2016
362,1982,1,0,0,0,1,4,5,2016
405,1981,1,0,0,2,1,4,5,2016
416,1980,2,1,0,2,1,5,5,2016
458,1984,1,0,0,1,1,4,5,2016
497,1986,2,1,0,2,1,5,5,2016
503,1982,1,0,0,1,1,5,5,2016
545,1987,2,1,1,-1,-1,4,6,2016
604,1983,2,1,0,-1,-1,4,6,2016
609,1979,1,0,0,2,1,4,5,2016
623,1987,2,1,0,1,1,4,5,2016
628,1986,2,1,0,0,1,4,5,2016
629,1983,2,1,0,-1,-1,4,6,2016
658,1981,1,0,0,1,1,4,5,2016
688,1980,1,0,0,0,1,4,5,2016
690,1985,2,1,0,-1,-1,4,6,2016
703,1981,2,1,0,-1,-1,4,6,2016
724,1981,1,0,0,0,1,4,5,2016
738,1979,2,1,0,-1,-1,4,6,2016
769,1980,2,1,0,2,1,4,5,2016
770,1983,2,1,2,0,1,4,5,2016
771,1980,2,1,0,-1,-1,4,6,2016
772,1985,2,0,0,-1,-1,4,6,2016
778,1981,1,0,0,0,1,4,5,2016
846,1984,1,0,0,2,1,5,5,2016
855,1979,2,1,0,-1,-1,5,6,2016
883,1981,2,1,1,0,1,4,5,2016
885,1981,2,1,1,0,1,5,5,2016
894,1984,2,1,0,-1,-1,4,6,2016
895,1980,1,0,0,1,1,4,5,2016
913,1979,1,1,0,1,1,5,5,2016
914,1982,1,1,1,2,1,4,5,2016
923,1984,1,0,0,0,1,4,5,2016
952,1981,2,1,0,0,1,4,5,2016
975,1983,2,1,0,0,1,4,5,2016
982,1978,2,1,0,-1,-1,4,6,2016
995,1980,1,0,0,2,1,4,5,2016
1059,1983,2,0,0,-1,-1,4,6,2016
1061,1985,2,1,0,-1,-1,4,6,2016
1070,1989,2,1,0,-1,-1,4,6,2016
1106,1983,2,1,0,2,2,4,5,2016
1109,1985,2,1,0,2,2,4,5,2016
1119,1978,2,1,0,0,1,4,5,2016
1166,1980,1,1,0,-1,-1,5,6,2016
1188,1981,1,0,2,0,1,4,5,2016
1189,1980,1,0,0,0,1,4,5,2016
1215,1986,2,1,0,2,1,5,5,2016
1245,1983,1,0,0,0,1,4,5,2016
1296,1979,2,0,0,-1,-1,4,6,2016
1297,1980,2,1,0,0,1,4,5,2016
1314,1978,1,0,0,1,1,4,5,2016
1315,1980,1,0,0,1,1,5,5,2016
1317,1983,1,0,0,0,1,4,5,2016
1326,1980,2,1,0,0,1,4,5,2016
1330,1978,1,1,0,2,1,4,5,2016
1354,1979,2,1,1,0,1,4,5,2016
1360,1985,2,1,2,0,1,4,5,2016
1380,1982,1,0,0,1,1,4,5,2016
1427,1983,2,1,0,-1,-1,5,6,2016
1429,1979,2,1,0,-1,-1,4,6,2016
1432,1985,1,0,0,2,1,4,5,2016
1440,1983,2,1,0,0,1,4,5,2016
1499,1989,2,1,0,-1,-1,4,6,2016
1554,1984,1,0,0,2,1,4,5,2016
1555,1982,1,0,0,1,1,4,5,2016
1577,1983,1,0,0,2,1,5,5,2016
1578,1985,2,0,0,-1,-1,4,6,2016
1579,1982,2,0,0,-1,-1,4,6,2016
1581,1985,2,0,0,-1,-1,5,6,2016
1632,1986,2,1,0,2,1,4,5,2016
1672,1981,2,1,1,2,1,5,5,2016
1673,1979,1,1,0,1,1,4,5,2016
1690,1983,1,0,0,2,1,4,5,2016
1722,1981,1,0,0,0,1,4,5,2016
1727,1985,1,0,0,0,1,4,5,2016
1739,1980,2,1,0,2,1,4,5,2016
1754,1982,2,1,0,2,1,4,5,2016
1770,1984,2,1,1,2,1,4,5,2016
1776,1981,2,1,0,2,1,4,5,2016
1781,1982,2,1,0,0,1,4,5,2016
1786,1982,2,1,0,-1,-1,4,6,2016
1787,1978,1,0,0,2,1,4,5,2016
1829,1986,2,0,0,0,1,4,5,2016
1834,1979,1,1,0,2,1,4,5,2016
1893,1981,1,0,0,2,1,4,5,2016
1896,1978,2,1,0,-1,-1,5,6,2016
1900,1979,2,1,1,0,1,4,5,2016
1901,1980,2,1,0,-1,-1,4,6,2016
1918,1981,2,1,0,-1,-1,4,6,2016
1921,1979,2,1,0,-1,-1,4,6,2016
1946,1980,1,1,0,1,1,4,5,2016
1950,1981,2,1,0,0,1,4,5,2016
1960,1983,1,0,0,2,2,4,5,2016
1961,1985,2,1,0,-1,-1,4,6,2016
1970,1984,1,0,0,0,1,4,5,2016
1986,1985,2,1,1,0,1,4,5,2016
1988,1983,1,0,0,0,1,4,5,2016
2016,1982,2,1,0,-1,-1,4,6,2016
2029,1980,2,1,0,-1,-1,5,6,2016
2043,1985,2,1,0,-1,-1,4,6,2016
2059,1984,2,1,1,2,1,4,5,2016
