"id","출생연도","성별","배우자월평균소득_400미만","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도","g115"
"9",1980,1,1,0,2,1,0,1,2016,5
"9",1980,1,1,0,2,1,0,1,2017,4
"45",1981,1,0,0,-1,-1,0,0,2016,7
"45",1981,1,0,0,-1,-1,0,0,2017,7
"45",1981,1,0,0,-1,-1,0,0,2018,7
"45",1981,1,0,0,0,1,0,1,2019,7
"45",1981,1,1,0,0,1,0,1,2020,6
"68",1979,1,1,0,-1,-1,0,0,2016,4
"68",1979,1,1,0,-1,-1,0,0,2017,5
"69",1983,0,1,0,2,1,0,1,2016,0
"69",1983,0,1,0,2,1,0,1,2017,0
"69",1983,0,1,0,2,1,0,1,2018,4
"84",1980,0,0,0,0,1,0,1,2016,8
"84",1980,0,0,0,0,1,0,1,2017,8
"84",1980,0,0,0,0,1,0,1,2018,8
"95",1990,1,1,0,-1,-1,0,0,2016,6
"95",1990,1,1,1,2,1,0,1,2017,5
"95",1990,1,1,1,2,1,0,1,2018,6
"95",1990,1,0,0,2,1,0,1,2019,8
"108",1985,1,1,1,0,1,0,1,2016,5
"108",1985,1,1,1,0,1,0,1,2017,6
"108",1985,1,1,1,1,1,0,1,2018,6
"108",1985,1,0,0,-1,-1,0,0,2019,8
"108",1985,1,1,0,-1,-1,0,0,2020,6
"114",1982,0,1,1,0,1,0,1,2016,3
"187",1981,0,1,0,1,1,0,1,2016,0
"187",1981,0,1,0,1,1,0,1,2019,0
"188",1979,1,0,0,-1,-1,0,0,2016,8
"213",1983,1,0,1,1,1,1,1,2016,8
"213",1983,1,0,1,1,1,1,1,2017,8
"213",1983,1,0,1,1,1,1,1,2018,8
"213",1983,1,0,1,1,1,1,1,2019,9
"213",1983,1,0,1,1,1,1,1,2020,9
"255",1984,0,1,1,0,1,0,1,2016,5
"255",1984,0,1,1,0,1,0,1,2017,6
"255",1984,0,1,0,0,1,0,1,2018,6
"255",1984,0,1,0,0,1,0,1,2019,0
"255",1984,0,1,0,0,1,0,1,2020,6
"257",1981,0,1,0,0,1,0,1,2016,2
"257",1981,0,1,0,2,1,0,1,2017,0
"257",1981,0,1,0,2,1,0,1,2018,1
"257",1981,0,1,0,0,2,0,1,2019,2
"257",1981,0,1,0,0,2,0,1,2020,0
"277",1986,1,1,0,2,2,0,1,2016,6
"277",1986,1,0,1,2,2,0,1,2017,8
"277",1986,1,1,1,-1,-1,0,0,2018,6
"277",1986,1,1,0,-1,-1,0,0,2019,6
"277",1986,1,0,0,-1,-1,0,0,2020,9
"287",1983,1,1,0,0,1,0,1,2016,4
"287",1983,1,1,1,0,1,0,1,2017,5
"287",1983,1,1,1,0,1,0,1,2018,5
"287",1983,1,1,1,0,1,0,1,2019,5
"287",1983,1,1,1,0,1,0,1,2020,6
"290",1984,1,1,1,0,1,0,1,2016,6
"290",1984,1,1,1,0,1,0,1,2017,6
"290",1984,1,1,0,0,1,0,1,2018,6
"290",1984,1,0,0,-1,-1,0,0,2020,7
"362",1982,0,1,0,0,1,0,1,2016,0
"362",1982,0,1,0,0,1,0,1,2017,0
"362",1982,0,1,0,0,1,0,1,2018,0
"405",1981,0,1,0,2,1,0,1,2016,0
"405",1981,0,1,0,2,1,0,1,2017,0
"405",1981,0,1,0,2,1,0,1,2018,0
"405",1981,0,1,0,2,1,0,1,2019,0
"405",1981,0,1,0,2,1,0,1,2020,1
"416",1980,1,1,0,2,1,1,1,2016,6
"416",1980,1,1,1,2,1,1,1,2017,6
"416",1980,1,1,0,2,1,1,1,2018,6
"458",1984,0,1,0,1,1,0,1,2016,0
"458",1984,0,1,0,1,1,0,1,2017,0
"458",1984,0,1,0,1,1,0,1,2018,0
"458",1984,0,1,0,1,1,0,1,2019,0
"458",1984,0,1,0,1,1,0,1,2020,0
"497",1986,1,1,0,2,1,1,1,2016,6
"497",1986,1,0,0,2,1,1,1,2017,8
"503",1982,0,1,0,1,1,1,1,2016,0
"503",1982,0,1,0,1,1,1,1,2017,0
"503",1982,0,1,0,1,1,1,1,2018,0
"503",1982,0,1,0,1,1,1,1,2019,0
"503",1982,0,1,0,1,1,1,1,2020,0
"545",1987,1,0,1,-1,-1,0,0,2016,7
"545",1987,1,0,1,2,1,0,1,2017,7
"545",1987,1,0,1,2,1,0,1,2018,7
"545",1987,1,0,1,2,1,0,1,2019,7
"604",1983,1,1,0,-1,-1,0,0,2016,4
"604",1983,1,0,0,-1,-1,0,0,2017,7
